dataset,class_name,few_shot,resize,imagesize,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc,object_hit_rate,object_miss_rate,object_over_rate,avg_inference_time_ms_per_image,peak_gpu_memory_mb,num_test_images,results_csv
srs,srs,4,732,640,0.8302879915783141,0.9610377043387307,0.9558224585270495,0.5403472931562819,0.45965270684371806,0.763018534863195,584.1130269694127,913.80615234375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\640x640\few_shot_4\few_shot_summary_640\640x640\shot_4_0\results.csv
srs,srs,5,732,640,0.8381081284307091,0.9621703488227227,0.9570065302575265,0.5423901940755873,0.4576098059244127,0.7395326192794547,600.258097374036,913.11865234375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\640x640\few_shot_5\few_shot_summary_640\640x640\shot_5_0\results.csv
srs,srs,6,732,640,0.8520941424167231,0.9630513336224297,0.957813056891899,0.5587334014300307,0.44126659856996936,0.7289215686274509,601.7064625268962,913.80615234375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\640x640\few_shot_6\few_shot_summary_640\640x640\shot_6_0\results.csv
srs,srs,7,732,640,0.8484472516730581,0.9643064962881113,0.9592544164314784,0.5648621041879469,0.4351378958120531,0.7308248914616498,646.3493269685931,913.11865234375,419.0,C:\Users\Administrator\Desktop\lhc\patchcore\output\srs\640x640\few_shot_7\few_shot_summary_640\640x640\shot_7_0\results.csv
